# SYNTHETIC data - generated by scripts/make_synthetic.py for project 28.01
# Scenario definition for the corotational-FEM soft arm: model constants
# (cross-checked against src/kernels.cuh at startup) + runtime controller
# scenario. No RNG; the material is a synthetic elastomer-class teaching
# material, not a datasheet substance. regenerate: python make_synthetic.py
# format: key,value   (comments and blank lines ignored by the loader)

# --- MODEL (must match src/kernels.cuh; loader aborts on mismatch) ---
# NELX: elements along the arm length (x) [kNelx]
NELX,120
# NELY: elements through the arm height (y) [kNely]
NELY,12
# ELEM_SIZE_M: square element side h (m) [kElemSize_m]
ELEM_SIZE_M,0.002
# YOUNGS_E_PA: Young's modulus (Pa), synthetic elastomer-class [kYoungsE_Pa]
YOUNGS_E_PA,1000000
# POISSON_NU: Poisson's ratio (0.40 not 0.49 - Q4 locking, THEORY.md) [kPoissonNu]
POISSON_NU,0.4
# THICKNESS_M: out-of-plane depth (m) [kThickness_m]
THICKNESS_M,0.02
# DENSITY_KGM3: mass density (kg/m^3), synthetic silicone-like [kDensity_kgm3]
DENSITY_KGM3,1100
# DT_S: integration timestep (s), CFL-derived in kernels.cuh [kDt_s]
DT_S,3e-05
# RAYLEIGH_ALPHA: mass-proportional damping (1/s), zeta_1 ~ 0.149 [kRayleighAlphaOn]
RAYLEIGH_ALPHA,3.8
# RAYLEIGH_BETA: stiffness-proportional damping (s), high-mode damper [kRayleighBetaOn]
RAYLEIGH_BETA,2e-05
# TENDON_BIAS_N: co-contraction pretension per tendon (N); 2*bias ~ 51% of the buckling load [kTendonBiasN]
TENDON_BIAS_N,0.25

# --- SCENARIO (runtime inputs: actuation, controller tuning, setpoints) ---
# PROBE_DELTA_T_N: tension differential (N) used to identify the tip Jacobian
PROBE_DELTA_T_N,0.18
# CONTROL_SUBSTEPS: dynamics steps per control tick (100 x 3e-5 s = 3 ms -> ~333 Hz)
CONTROL_SUBSTEPS,100
# HOLD_STEPS: dynamics steps held per setpoint (~2.0 s ~ 4 first-mode periods)
HOLD_STEPS,66000
# PI_MARGIN_ALPHA: Kp = alpha/|J|; resonant loop gain ~ alpha/(2*zeta) ~ 0.7 < 1 (no sustained ring)
PI_MARGIN_ALPHA,0.3
# PI_INTEGRAL_TIME_S: Ki = Kp/Ti (s); crossover ~ alpha/Ti = 2 rad/s, well below the resonance
PI_INTEGRAL_TIME_S,0.15
# DELTA_T_CLAMP_FRAC: |deltaT| <= frac * TENDON_BIAS_N (keeps both tendons taut: bias-clamp/2 > 0)
DELTA_T_CLAMP_FRAC,1.8
# SETPOINT_SAFE_FRAC: setpoint scale = J * frac * clamp (stays inside the identified range)
SETPOINT_SAFE_FRAC,0.65
# SETPOINT_FRACS: setpoint sequence (fractions of the safe scale, ';'-separated)
SETPOINT_FRACS,0.6;-0.6;0.3;0
